"champId","champName","count","win","winpercent"
1,"Annie",1008,554,0.549603174603175
2,"Olaf",3467,1780,0.513412171906547
3,"Galio",6565,3479,0.52993145468393
4,"TwistedFate",4204,2100,0.499524262607041
5,"XinZhao",468,244,0.521367521367521
6,"Urgot",1717,887,0.516598718695399
7,"Leblanc",3207,1540,0.480199563454942
8,"Vladimir",3067,1527,0.497880665145093
9,"Fiddlesticks",1749,907,0.518582046883934
10,"Kayle",696,325,0.466954022988506
11,"MasterYi",724,339,0.468232044198895
12,"Alistar",2147,1111,0.51746623195156
13,"Ryze",1387,703,0.506849315068493
14,"Sion",1296,615,0.474537037037037
15,"Sivir",945,439,0.464550264550265
16,"Soraka",2644,1328,0.502269288956127
17,"Teemo",762,396,0.519685039370079
18,"Tristana",2518,1227,0.487291501191422
19,"Warwick",699,353,0.505007153075823
20,"Nunu",3001,1554,0.51782739086971
21,"MissFortune",2207,1063,0.481649297689171
22,"Ashe",16418,8496,0.517480813741016
23,"Tryndamere",2460,1235,0.502032520325203
24,"Jax",6343,3190,0.502916600977455
25,"Morgana",5949,2966,0.498571188435031
26,"Zilean",2254,1131,0.501774622892635
27,"Singed",1402,727,0.518544935805991
28,"Evelynn",4753,2354,0.495266147696192
29,"Twitch",1456,720,0.494505494505495
30,"Karthus",6971,3708,0.531917945775355
31,"Chogath",862,403,0.467517401392111
32,"Amumu",232,104,0.448275862068966
33,"Rammus",467,216,0.462526766595289
34,"Anivia",982,474,0.482688391038697
35,"Shaco",1800,903,0.501666666666667
36,"DrMundo",359,168,0.467966573816156
37,"Sona",1999,1012,0.506253126563282
38,"Kassadin",3191,1627,0.50987151363209
39,"Irelia",6675,3171,0.475056179775281
40,"Janna",4327,2246,0.51906632770973
41,"Gangplank",3336,1566,0.469424460431655
42,"Corki",934,443,0.474304068522484
43,"Karma",8589,3961,0.461171265572244
44,"Taric",2523,1317,0.521997621878716
45,"Veigar",1504,753,0.500664893617021
48,"Trundle",563,238,0.422735346358792
50,"Swain",1697,837,0.493223335297584
51,"Caitlyn",15673,7989,0.50973010910483
53,"Blitzcrank",4251,2158,0.507645259938838
54,"Malphite",3232,1596,0.493811881188119
55,"Katarina",3436,1821,0.529976717112922
56,"Nocturne",1897,933,0.491829204006326
57,"Maokai",3031,1563,0.515671395579017
58,"Renekton",8442,4188,0.496090973702914
59,"JarvanIV",792,363,0.458333333333333
60,"Elise",6041,3155,0.522264525740771
61,"Orianna",6017,2972,0.493933854080106
62,"MonkeyKing",5142,2570,0.499805523142746
63,"Brand",550,248,0.450909090909091
64,"LeeSin",9250,4363,0.471675675675676
67,"Vayne",2465,1239,0.5026369168357
68,"Rumble",1559,748,0.479794740218089
69,"Cassiopeia",3206,1640,0.511540860885839
72,"Skarner",863,450,0.52143684820394
74,"Heimerdinger",967,501,0.518097207859359
75,"Nasus",366,159,0.434426229508197
76,"Nidalee",11893,6311,0.530648280501135
77,"Udyr",86,38,0.441860465116279
78,"Poppy",2506,1212,0.483639265762171
79,"Gragas",3152,1553,0.492703045685279
80,"Pantheon",8650,4502,0.520462427745665
81,"Ezreal",18296,8820,0.482072584171404
82,"Mordekaiser",2329,1056,0.453413482181194
83,"Yorick",518,255,0.492277992277992
84,"Akali",12477,6069,0.486415003606636
85,"Kennen",2720,1403,0.515808823529412
86,"Garen",1289,623,0.483320403413499
89,"Leona",3697,1817,0.491479578036246
90,"Malzahar",504,253,0.501984126984127
91,"Talon",3461,1847,0.533660791678706
92,"Riven",2814,1544,0.548685145700071
96,"KogMaw",1095,554,0.505936073059361
98,"Shen",6311,3266,0.517509111075899
99,"Lux",10874,5745,0.528324443627
101,"Xerath",1034,472,0.456479690522244
102,"Shyvana",1454,636,0.437414030261348
103,"Ahri",2006,1060,0.528414755732802
104,"Graves",12052,6217,0.515847992034517
105,"Fizz",2300,1188,0.516521739130435
106,"Volibear",4334,1972,0.455006922011998
107,"Rengar",3418,1818,0.531889994148625
110,"Varus",393,190,0.483460559796438
111,"Nautilus",6314,3003,0.475609756097561
112,"Viktor",604,284,0.470198675496689
113,"Sejuani",1023,502,0.490713587487781
114,"Fiora",4964,2574,0.51853344077357
115,"Ziggs",2055,973,0.473479318734793
117,"Lulu",8367,4417,0.527907254691048
119,"Draven",2883,1483,0.514394727714187
120,"Hecarim",7143,3652,0.511269774604508
121,"Khazix",5774,2910,0.503983373744371
122,"Darius",2239,1148,0.512728896828942
126,"Jayce",6883,3373,0.490047944210373
127,"Lissandra",631,291,0.461172741679873
131,"Diana",1113,552,0.495956873315364
133,"Quinn",1125,580,0.515555555555556
134,"Syndra",3013,1472,0.488549618320611
136,"AurelionSol",855,446,0.521637426900585
141,"Kayn",3854,1921,0.498443175921121
142,"Zoe",6660,3383,0.507957957957958
143,"Zyra",1199,585,0.48790658882402
145,"Kaisa",7225,3457,0.478477508650519
150,"Gnar",1053,515,0.489078822412156
154,"Zac",1572,786,0.5
157,"Yasuo",4800,2405,0.501041666666667
161,"Velkoz",1318,625,0.474203338391502
163,"Taliyah",1802,931,0.516648168701443
164,"Camille",14566,7595,0.521419744610737
201,"Braum",1750,836,0.477714285714286
202,"Jhin",14950,7417,0.496120401337793
203,"Kindred",5984,3106,0.519050802139037
222,"Jinx",2029,1030,0.507639231148349
223,"TahmKench",1300,649,0.499230769230769
235,"Senna",10205,4995,0.489465948064674
236,"Lucian",17796,8790,0.493931220498989
238,"Zed",5026,2559,0.509152407481098
240,"Kled",1054,539,0.511385199240987
245,"Ekko",10283,5002,0.486433920062239
246,"Qiyana",4011,2176,0.542508102717527
254,"Vi",650,334,0.513846153846154
266,"Aatrox",2114,968,0.457899716177862
267,"Nami",1120,549,0.490178571428571
268,"Azir",2148,1016,0.472998137802607
350,"Yuumi",4616,2215,0.479852686308492
412,"Thresh",11492,5759,0.501131221719457
420,"Illaoi",435,203,0.466666666666667
421,"RekSai",4287,2252,0.525309073944483
427,"Ivern",977,514,0.526100307062436
429,"Kalista",3869,1919,0.49599379684673
432,"Bard",11071,5845,0.527955920874356
497,"Rakan",3429,1780,0.519101778944299
498,"Xayah",1345,649,0.482527881040892
516,"Ornn",1721,787,0.457292271934922
517,"Sylas",10125,4741,0.468246913580247
518,"Neeko",1764,906,0.513605442176871
523,"Aphelios",2958,1405,0.474983096686951
555,"Pyke",5876,2891,0.492001361470388
777,"Yone",9364,4466,0.476932934643315
875,"Sett",10884,5139,0.472160970231533
876,"Lillia",8525,3966,0.465219941348974
